access.cpl               Accessibility Controls
hdwwiz.cpl               Add Hardware Wizard
appwiz.cpl               Add/Remove Programs
control admintools       Administrative Tools
wuaucpl.cpl              Automatic Updates
fsquirt                  Bluetooth Transfer Wizard
calc                     Calculator
certmgr.msc              Certificate Manager
charmap                  Character Map
chkdsk                   Check Disk Utility
clipbrd                  Clipboard Viewer
cmd                      Command Prompt
dcomcnfg                 Component Services
compmgmt.msc             Computer Management
timedate.cpl             Date and Time Properties
ddeshare                 DDE Shares
devmgmt.msc              Device Manager
directx.cpl              Direct X Control Panel (If Installed)*
dxdiag                   Direct X Troubleshooter
cleanmgr                 Disk Cleanup Utility
dfrg.msc                 Disk Defragment
diskmgmt.msc             Disk Management
diskpart                 Disk Partition Manager
control desktop          Display Properties
desk.cpl                 Display Properties
control color            Display Properties (w/Appearance Tab Preselected)
drwtsn32                 Dr. Watson System Troubleshooting Utility
verifier                 Driver Verifier Utility
eventvwr.msc             Event Viewer
sigverif                 File Signature Verification Tool
findfast.cpl             Findfast
control folders          Folders Properties
control fonts            Fonts
fonts                    Fonts Folder
freecell                 Free Cell Card Game
joy.cpl                  Game Controllers
gpedit.msc               Group Policy Editor (XP Prof)
mshearts                 Hearts Card Game
iexpress                 Iexpress Wizard
ciadv.msc                Indexing Service
inetcpl.cpl              Internet Properties
ipconfig /all            IP Configuration (Display Connection Configuration)
ipconfig /displaydns     IP Configuration (Display DNS Cache Contents)
ipconfig /flushdns       IP Configuration (Delete DNS Cache Contents)
ipconfig /release        IP Configuration (Release All Connections)
ipconfig /renew          IP Configuration (Renew All Connections)
ipconfig /registerdns    IP Configuration (Refreshes DHCP & Re-Registers DNS)
ipconfig /showclassid    IP Configuration (Display DHCP Class ID)
ipconfig /setclassid     IP Configuration (Modifies DHCP Class ID)
jpicpl32.cpl             Java Control Panel (If Installed)
javaws                   Java Control Panel (If Installed)
control keyboard         Keyboard Properties
secpol.msc               Local Security Settings
lusrmgr.msc              Local Users and Groups
logoff                   Logs You Out Of Windows
winchat                  Microsoft Chat
winmine                  Minesweeper Game
control mouse            Mouse Properties
main.cpl                 Mouse Properties
control netconnections   Network Connections
ncpa.cpl                 Network Connections
netsetup.cpl             Network Setup Wizard
notepad                  Notepad
packager                 Object Packager
odbccp32.cpl             ODBC Data Source Administrator
osk                      On Screen Keyboard
ac3filter.cpl            Opens AC3 Filter (If Installed)
password.cpl             Password Properties
perfmon.msc              Performance Monitor
perfmon                  Performance Monitor
telephon.cpl             Phone and Modem Options
powercfg.cpl             Power Configuration
control printers         Printers and Faxes
printers                 Printers Folder
eudcedit                 Private Character Editor
QuickTime.cpl            Quicktime (If Installed)
intl.cpl                 Regional Settings
regedit                  Registry Editor
regedit32                Registry Editor
mstsc                    Remote Desktop
ntmsmgr.msc              Removable Storage
ntmsoprq.msc             Removable Storage Operator Requests
rsop.msc                 Resultant Set of Policy (XP Prof)
sticpl.cpl               Scanners and Cameras
control schedtasks       Scheduled Tasks
wscui.cpl                Security Center
services.msc             Services
fsmgmt.msc               Shared Folders
shutdown                 Shuts Down Windows
mmsys.cpl                Sounds and Audio
spider                   Spider Solitare Card Game
cliconfg                 SQL Client Configuration
sysedit                  System Configuration Editor
msconfig                 System Configuration Utility
sfc /scannow             System File Checker Utility (Scan Immediately)
sfc /scanonce            System File Checker Utility (Scan Once At Next Boot)
sfc /scanboot            System File Checker Utility (Scan On Every Boot)
sfc /revert              System File Checker Utility (Return to Default Setting)
sfc /purgecache          System File Checker Utility (Purge File Cache)
sfc /cachesize=x         System File Checker Utility (Set Cache Size to size x)
sysdm.cpl                System Properties
taskmgr                  Task Manager
telnet                   Telnet Client
nusrmgr.cpl              User Account Management
utilman                  Utility Manager
firewall.cpl             Windows Firewall
magnify                  Windows Magnifier
wmimgmt.msc              Windows Management Infrastructure
syskey                   Windows System Security Tool
wupdmgr                  Windows Update Launches
tourstart                Windows XP Tour Wizard
write                    Wordpad
